user_id,item_id,rating
1,101,4.5
1,102,3.5
1,103,2.0
1,104,3.0
1,105,4.0
1,106,2.5
1,107,4.0
1,108,3.5
1,109,4.0
1,110,3.0
2,101,3.0
2,102,4.5
2,103,5.0
2,104,4.0
2,105,5.0
2,106,3.5
2,107,4.5
2,108,2.5
2,109,3.5
2,110,4.0
3,101,4.0
3,102,3.0
3,103,3.5
3,104,2.5
3,105,2.0
3,106,4.0
3,107,3.5
3,108,2.0
3,109,3.0
3,110,3.5
4,101,2.5
4,102,3.5
4,103,2.0
4,104,4.0
4,105,3.0
4,106,4.5
4,107,3.0
4,108,4.0
4,109,3.5
4,110,4.0
5,101,5.0
5,102,4.0
5,103,4.5
5,104,3.0
5,105,4.0
5,106,4.0
5,107,4.5
5,108,2.0
5,109,4.0
5,110,3.5
6,101,3.0
6,102,3.5
6,103,4.0
6,104,2.5
6,105,3.0
6,106,3.5
6,107,4.0
6,108,4.5
6,109,4.0
6,110,2.0
7,101,4.0
7,102,2.0
7,103,3.5
7,104,4.5
7,105,5.0
7,106,3.0
7,107,4.0
7,108,2.5
7,109,3.5
7,110,4.0
8,101,3.5
8,102,4.0
8,103,2.0
8,104,4.0
8,105,3.0
8,106,4.5
8,107,3.0
8,108,4.0
8,109,3.5
8,110,2.5
9,101,2.0
9,102,3.0
9,103,3.5
9,104,4.0
9,105,3.5
9,106,2.5
9,107,3.0
9,108,4.5
9,109,3.0
9,110,4.0
10,101,4.0
10,102,5.0
10,103,4
